nh,chn_start,chn_end,length,structure,roughness_limit,rut_limit,crack_limit,ravelling_limit,roughness,rut_depth,crack_area,area,start_lat,start_long,frame,timestamp
NH148N,285600,285700,100,Culvert,2400,5,5,1,2286.0,3.2,0.002,0.0,26.01724,76.26301,1120,224000
NH148N,285500,285600,100,Minor Bridge,2400,5,5,1,2440.0,2.9,0.004,0.005,26.01814,76.263,1140,228000
NH148N,285400,285500,100,,2400,5,5,1,2399.0,3.0,0.002,0.009,26.01904,76.26298,1160,232000
NH148N,285300,285400,100,SVUP,2400,5,5,1,2253.0,2.7,0.001,0.0,26.01994,76.26295,1180,236000
NH148N,285200,285300,100,,2400,5,5,1,2221.0,3.0,0.001,0.006,26.02084,76.26291,1200,240000
NH148N,285100,285200,100,,2400,5,5,1,2036.0,2.9,0.002,0.006,26.02174,76.26285,1220,244000
NH148N,285000,285100,100,,2400,5,5,1,1861.0,3.1,0.002,0.0,26.02264,76.26278,1240,248000
NH148N,284900,285000,100,,2400,5,5,1,1948.0,3.1,0.003,0.0,26.02354,76.2627,1260,252000
NH148N,284800,284900,100,Culvert,2400,5,5,1,2367.0,2.9,0.001,0.017,26.02444,76.2626,1280,256000
NH148N,284700,284800,100,,2400,5,5,1,2359.0,2.7,0.001,0.0,26.02534,76.2625,1300,260000
NH148N,284600,284700,100,,2400,5,5,1,1988.0,3.3,0.001,0.0,26.02623,76.26238,1320,264000
NH148N,284500,284600,100,,2400,5,5,1,1813.0,3.0,0.001,0.0,26.02713,76.26227,1340,268000
NH148N,284400,284500,100,,2400,5,5,1,1948.0,3.1,0.0,0.007,26.02802,76.26215,1360,272000
NH148N,284300,284400,100,ROB,2400,5,5,1,1672.0,3.3,0.002,0.017,26.02892,76.26204,1380,276000
NH148N,284200,284300,100,ROB,2400,5,5,1,2375.0,3.7,1.462,0.02,26.02982,76.26192,1400,280000
NH148N,284100,284200,100,,2400,5,5,1,2004.0,2.3,0.53,0.007,26.03071,76.2618,1420,284000
NH148N,284000,284100,100,,2400,5,5,1,2237.0,2.8,0.0,0.206,26.03161,76.26169,1440,288000
NH148N,283900,284000,100,VUP,2400,5,5,1,2302.0,2.8,0.001,0.106,26.0325,76.26158,1460,292000
NH148N,283800,283900,100,,2400,5,5,1,2036.0,3.4,0.001,0.083,26.0334,76.26146,1480,296000
NH148N,283700,283800,100,,2400,5,5,1,2473.0,3.4,0.001,0.0,26.03429,76.26135,1500,300000
NH148N,283600,283700,100,,2400,5,5,1,2253.0,3.1,0.001,0.0,26.03519,76.26123,1520,304000
NH148N,283500,283600,100,,2400,5,5,1,2703.0,2.7,0.002,0.043,26.03609,76.26112,1540,308000
NH148N,283400,283500,100,,2400,5,5,1,1829.0,2.8,0.0,0.045,26.03698,76.261,1560,312000
NH148N,283300,283400,100,LVUP,2400,5,5,1,1687.0,3.1,0.001,0.0,26.03788,76.26089,1580,316000
NH148N,283200,283300,100,,2400,5,5,1,1640.0,3.9,0.0,0.054,26.03877,76.26077,1600,320000
NH148N,283100,283200,100,,2400,5,5,1,1782.0,3.1,0.0,0.0,26.03967,76.26065,1620,324000
NH148N,283000,283100,100,,2400,5,5,1,1664.0,3.3,0.003,0.0,26.04057,76.26054,1640,328000
NH148N,282900,283000,100,,2400,5,5,1,1493.0,3.6,0.002,0.0,26.04146,76.26043,1660,332000
NH148N,282800,282900,100,,2400,5,5,1,1829.0,3.0,0.001,0.0,26.04236,76.26031,1680,336000
NH148N,282700,282800,100,,2400,5,5,1,2359.0,3.2,0.001,0.0,26.04325,76.26019,1700,340000
NH148N,282600,282700,100,Culvert,2400,5,5,1,2342.0,2.7,0.0,0.017,26.04415,76.26008,1720,344000
NH148N,282500,282600,100,Culvert,2400,5,5,1,2108.0,3.4,0.003,0.0,26.04505,76.25997,1740,348000
NH148N,282400,282500,100,,2400,5,5,1,1462.0,2.9,0.001,0.0,26.04594,76.25985,1760,352000
NH148N,282300,282400,100,Culvert,2400,5,5,1,1853.0,3.0,0.001,0.007,26.04684,76.25974,1780,356000
NH148N,282200,282300,100,,2400,5,5,1,1996.0,3.2,0.0,0.011,26.04773,76.25962,1800,360000
NH148N,282100,282200,100,SVUP,2400,5,5,1,2563.0,4.1,0.004,0.081,26.04863,76.25951,1820,364000
NH148N,282000,282100,100,,2400,5,5,1,2310.0,3.4,0.004,0.053,26.04953,76.25939,1840,368000
NH148N,281900,282000,100,Culvert,2400,5,5,1,2132.0,4.6,0.003,0.0,26.05042,76.25927,1860,372000
NH148N,281800,281900,100,,2400,5,5,1,1980.0,3.3,0.005,0.0,26.05132,76.25916,1880,376000
NH148N,281700,281800,100,Culvert,2400,5,5,1,2286.0,3.1,0.005,0.0,26.05221,76.25904,1900,380000
NH148N,281600,281700,100,,2400,5,5,1,2229.0,2.9,0.008,0.0,26.05311,76.25893,1920,384000
NH148N,281500,281600,100,,2400,5,5,1,1885.0,3.2,0.003,0.0,26.054,76.25882,1940,388000
NH148N,281400,281500,100,,2400,5,5,1,1695.0,3.2,0.002,0.0,26.0549,76.2587,1960,392000
NH148N,281300,281400,100,,2400,5,5,1,1316.0,3.1,0.004,0.0,26.05579,76.25858,1980,396000
NH148N,281200,281300,100,Culvert,2400,5,5,1,1664.0,3.1,0.007,0.015,26.05669,76.25847,2000,400000
NH148N,281100,281200,100,,2400,5,5,1,1805.0,3.3,0.003,0.0,26.05758,76.25835,2020,404000
NH148N,281000,281100,100,,2400,5,5,1,2197.0,3.9,0.001,0.005,26.05848,76.25824,2040,408000
NH148N,280900,281000,100,LVUP,2400,5,5,1,1797.0,3.5,0.002,0.0,26.05937,76.25812,2060,412000
NH148N,280800,280900,100,,2400,5,5,1,2068.0,2.7,0.001,0.011,26.06027,76.25801,2080,416000
